utc, local, unixts, general/nodata/time, activity/lying+sitting/time, activity/upright_stand/time, activity/upright_sporadic_walk/time, activity/upright_walk/time, activity/upright_run/time, activity/cycling/time, activity/sit2stand/count, activity/steps/count, activity/steps2/count
2021-10-21T22:00:00.000000Z, 2021-10-22T00:00:00.000000+02:00, 1634853600000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T22:15:00.000000Z, 2021-10-22T00:15:00.000000+02:00, 1634854500000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T22:30:00.000000Z, 2021-10-22T00:30:00.000000+02:00, 1634855400000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T22:45:00.000000Z, 2021-10-22T00:45:00.000000+02:00, 1634856300000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T23:00:00.000000Z, 2021-10-22T01:00:00.000000+02:00, 1634857200000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T23:15:00.000000Z, 2021-10-22T01:15:00.000000+02:00, 1634858100000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T23:30:00.000000Z, 2021-10-22T01:30:00.000000+02:00, 1634859000000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-21T23:45:00.000000Z, 2021-10-22T01:45:00.000000+02:00, 1634859900000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T00:00:00.000000Z, 2021-10-22T02:00:00.000000+02:00, 1634860800000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T00:15:00.000000Z, 2021-10-22T02:15:00.000000+02:00, 1634861700000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T00:30:00.000000Z, 2021-10-22T02:30:00.000000+02:00, 1634862600000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T00:45:00.000000Z, 2021-10-22T02:45:00.000000+02:00, 1634863500000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T01:00:00.000000Z, 2021-10-22T03:00:00.000000+02:00, 1634864400000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T01:15:00.000000Z, 2021-10-22T03:15:00.000000+02:00, 1634865300000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T01:30:00.000000Z, 2021-10-22T03:30:00.000000+02:00, 1634866200000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T01:45:00.000000Z, 2021-10-22T03:45:00.000000+02:00, 1634867100000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T02:00:00.000000Z, 2021-10-22T04:00:00.000000+02:00, 1634868000000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2021-10-22T02:15:00.000000Z, 2021-10-22T04:15:00.000000+02:00, 1634868900000, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
